# Tag name          ;  color
Untagged            ; #c0c0c0
Emergencias         ; #ff0000
Transporte          ; #ffcc66
oficial             ; #ff00ff
Vigilancia          ; #21a7ff
Pirata              ; #ff6666
Data                ; #8000ff
Radioaficionados    ; #80ff00
AP                  ; #ff8000
taxis               ; #ffff00
40mts               ; #80ff00
Otro Uso            ; #008000

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
     6923500; PNN                      ; AM                  ;       5600; oficial,40mts
     7135000; Prog RadioA              ; AM                  ;      10000; Radioaficionados
     7140000; Cadena HK                ; Narrow FM           ;      10000; 40mts
     7145000; Cadena Fraternidad       ; Narrow FM           ;      10000; 40mts
     7210000; musica                   ; AM                  ;       5400; Untagged
     7315000; EEUU                     ; AM                  ;      10000; 40mts
     7350000; noticias                 ; AM                  ;       5400; Untagged
     7365000; Cubanos                  ; AM                  ;       6000; 40mts
     7385500; ?                        ; AM                  ;      10000; Untagged
     7405000; Radio Cubana             ; AM                  ;      20000; 40mts
     7529700; chinos                   ; AM                  ;       4200; Untagged
     9420000; Religiosa                ; AM                  ;       5400; Untagged
     9566000; Cubanos                  ; AM                  ;       6000; 40mts
    13650000; Portugues                ; AM                  ;       7000; Untagged
    16850000; Transporte               ; Narrow FM           ;      10000; Untagged
   116000000; AP                       ; AM                  ;      10000; AP
   117000000; Ap bot arm               ; AM                  ;      10000; AP
   118101000; AP                       ; AM                  ;      10000; AP
   118600000; AP Olaya                 ; Narrow FM           ;      10000; AP
   118900000; Torre Olaya              ; Narrow FM           ;      10000; AP
   119202000; NAL                      ; AM                  ;      10000; AP
   119300000; Ap                       ; AM                  ;      10000; AP
   119750000; AP                       ; AM                  ;       9000; AP
   121100000; AP JMC                   ; AM                  ;      10000; AP
   121793000; ?                        ; AM                  ;      10000; Untagged
   121900000; AP superficie            ; AM                  ;      10000; AP
   122801000; M                        ; AM                  ;      10000; Untagged
   123400000; Ultraliviano             ; AM                  ;       9000; AP
   123494000; armonico                 ; AM                  ;      10000; Untagged
   123700500; M                        ; AM                  ;      10000; Untagged
   123879000; M                        ; AM                  ;      10000; Untagged
   124200000; AP                       ; AM                  ;      10000; AP
   124293000; AP                       ; AM                  ;      10000; AP
   125000000; AP Bot                   ; AM                  ;      10000; AP
   126101000; AP                       ; AM                  ;      10000; AP
   127202000; AP                       ; AM                  ;      10000; AP
   137620000; sat                      ; Narrow FM           ;      10000; Radioaficionados
   138125500; Control V                ; Narrow FM           ;      10000; Vigilancia
   138138000; Control Delfin           ; Narrow FM           ;      10000; Vigilancia
   138925000; ?                        ; Narrow FM           ;      10000; Untagged
   139100400; ?                        ; Narrow FM           ;      10000; Untagged
   139987000; Vigilancia               ; Narrow FM           ;      10000; Vigilancia
   140174500; ?                        ; Narrow FM           ;      10000; Untagged
   140350500; Transporte               ; Narrow FM           ;      10000; Transporte
   142112000; Control V                ; Narrow FM           ;      10000; Vigilancia
   142385000; Aguila                   ; Narrow FM           ;      10000; Transporte
   142400500; ?                        ; Narrow FM           ;      10000; Untagged
   142539500; data                     ; Narrow FM           ;      10000; Data
   142775000; ?                        ; Narrow FM           ;      10000; Untagged
   143125000; Finca La Cocodrila       ; Narrow FM           ;      10000; Otro Uso
   143162500; Control                  ; Narrow FM           ;      10000; Vigilancia
   143237000; Control V.               ; Narrow FM           ;      10000; Vigilancia
   143462000; Control V                ; Narrow FM           ;      10000; Vigilancia
   143476000; Control V.               ; Narrow FM           ;      10000; Vigilancia
   143600000; ?                        ; Narrow FM           ;      10000; Untagged
   143700000; Vigilancia               ; Narrow FM           ;      10000; Vigilancia
   143724000; ?                        ; Narrow FM           ;      10000; Untagged
   143786900; Control V.               ; Narrow FM           ;      10000; Vigilancia
   143895500; Trunking                 ; Narrow FM           ;      10000; Data
   143915300; Trunking                 ; Narrow FM           ;      10000; Data
   143983100; ?                        ; Narrow FM           ;      10000; Untagged
   144082700; Control V                ; Narrow FM           ;      10000; Vigilancia
   144100000; armonico144.700          ; Narrow FM           ;      10800; Untagged
   144185000; pirata                   ; Narrow FM           ;      10000; Untagged
   144198500; ?                        ; Narrow FM           ;      15000; Transporte
   144312600; RadioA                   ; Narrow FM           ;      10000; Radioaficionados
   144330000; RadioA                   ; Narrow FM           ;      10000; Radioaficionados
   144372500; data?                    ; Narrow FM           ;      10000; Pirata,Data
   144388000; taxi?                    ; Narrow FM           ;      10000; Pirata
   144424400; ?                        ; Narrow FM           ;      10000; Untagged
   144495000; Control V                ; Narrow FM           ;      10000; Vigilancia
   144512500; Linea 1 / Metro          ; Narrow FM           ;      15000; oficial
   144682800; Control V                ; Narrow FM           ;      10000; Vigilancia
   144700000; Control V                ; Narrow FM           ;      10800; Vigilancia
   144762000; Bus                      ; Narrow FM           ;      10000; Transporte
   144845900; ?                        ; Narrow FM           ;      10000; Vigilancia
   144862500; porteria udep Belen      ; Narrow FM           ;      13400; Vigilancia
   144900000; RadioA                   ; Narrow FM           ;      10000; Radioaficionados
   145169700; Centurion                ; Narrow FM           ;      10000; Vigilancia
   145187000; Centurion CC             ; Narrow FM           ;      10000; Vigilancia
   145211500; ?                        ; Narrow FM           ;      10000; Vigilancia
   145362000; Trunking                 ; Narrow FM           ;      10000; Data
   145372700; RadioA                   ; Narrow FM           ;      10000; Radioaficionados
   145390000; RadioA / Fracol          ; Narrow FM           ;      10000; Radioaficionados
   145395300; ?                        ; Narrow FM           ;      10000; Vigilancia
